122880 32 1 0 0 0.868288
122880 64 1 0 0 0.868288
122880 128 1 0 0 0.868288
122880 256 1 0 0 0.868288
122880 512 0.998047 4.92969 0.00196906 0.868288
122880 1024 0.994141 9.13281 0.0059225 0.868288
163840 32 1 0 0 0.765025
163840 64 1 0 0 0.765025
163840 128 1 0 0 0.765025
163840 256 1 0 0 0.765025
163840 512 1 0 0 0.765025
163840 1024 1 0.00488281 3.48838e-06 0.765025
204800 32 1 0 0 0.752863
204800 64 1 0 0 0.752863
204800 128 1 0 0 0.752863
204800 256 1 0 0 0.752863
204800 512 1 0 0 0.752863
204800 1024 1 0.000976562 6.75354e-07 0.752863
245760 32 1 0 0 0.770133
245760 64 1 0 0 0.770133
245760 128 1 0 0 0.770133
245760 256 1 0 0 0.770133
245760 512 1 0 0 0.770133
245760 1024 1 0 0 0.770133
286720 32 1 0 0 0.737954
286720 64 1 0 0 0.737954
286720 128 1 0 0 0.737954
286720 256 1 0 0 0.737954
286720 512 1 0 0 0.737954
286720 1024 1 0 0 0.737954
